Type,Business Activities
Trader,Airtime Sales
Trader,Bakery
Trader,Butchery
Trader,Cell Phone Shop
Trader,Clothing Shop
Trader,Coffee Shop
Trader,Coffin Supplier
Trader,Fast Food Outlet
Trader,Florist
Trader,Fresh Produce Store
Trader,Furniture Shop
Trader,General Dealer
Trader,Hardware Store
Trader,Liquor Store
Trader,Livestock Retailer
Trader,Part and Spares Shop
Trader,Restaurant
Trader,Cosmetic Sales
Trader,School Tuck Shop
Trader,Second-hand Shop
Trader,Spaza Shop
Trader,Tavern
Artisan,Aircon Services
Artisan,Auto Electrician
Artisan,Auto Refurbisher
Artisan,Building Contractor
Artisan,Carpentry
Artisan,Electrician
Artisan,Engineer
Artisan,Fencing
Artisan,Flooring Installation
Artisan,Garden Services
Artisan,Gas Installation
Artisan,General Maintenance
Artisan,Glass Fitment and Repair
Artisan,Handyman
Artisan,High-Pressure Cleaning
Artisan,Landscaper
Artisan,Locksmith
Artisan,Motor Mechanic
Artisan,Painting Contractor
Artisan,Panel Beater
Artisan,Paving
Artisan,Plumbing
Artisan,Pool Services
Artisan,Refrigeration
Artisan,Sound and AV Fitment
Artisan,Sound Technician
Artisan,Towing Service
Artisan,Tyre Fitment Centre
Artisan,Upholsterer
Artisan,Waterproofing
Artisan,Welder and Fabricator
Artisan,Windscreen Fitment
Services,Admin Services
Services,Advertising Services
Services,Audio Visual Production
Services,Beauty Spa
Services,Bed and Breakfast
Services,Business Consultant
Services,Car Wash
Services,Catering Services
Services,Cleaning Service
Services,Couriers
Services,Delivery
Services,Design and Print
Services,DJ
Services,Driving School
Services,Dry Cleaner
Services,Education
Services,Estate Agent
Services,Events Coordinator
Services,Fast Food Delivery
Services,Feeding Scheme
Services,Funeral Parlour
Services,Furniture Mover
Services,Graphic Designer
Services,Guest Lodge
Services,Gymnasium
Services,Hair Extensions Sales
Services,Hair Salon
Services,Hiring Business
Services,Insurance Broker
Services,Internet Cafe
Services,IT Services
Services,Laundromat
Services,Legal Services
Services,Microlender
Services,Mobile Car Wash
Services,Mobile Kitchen
Services,Musician
Services,NGO
Services,Pest Control
Services,Photographer
Services,Printing and Copying Services
Services,Project Management
Services,Publishing
Services,Recruitment Agency
Services,Removals
Services,Rubble Removal
Services,Tailor
Services,Tour Operator
Services,Waste Pickers
Services,Waste Removal
